Title,Autor,Date,Place,Country,Category,File_Name,MEAN,R_mean,G_mean,B_mean,STD,R_std,G_std,B_std,ASYMMETRY,R_asy,G_asy,B_asy
 The Magpie,Claude Monet,1868,Paris, Francia,WHITE,img0.jpg,172.51341410718356,179.56323939205262,175.31064928701937,162.66635364247875,34.39262879744368,35.64976636890749,33.970034297912896,31.13198537586621,1.7322466373443604,1.2489980459213257,1.3833022117614746,1.7322466373443604
" Symphony in White, No. 1",James McNeill Whistler,1862,Washington,Estados Unidos,WHITE,img1.jpg,174.6084407652761,193.72991456481134,179.02832528657024,151.06708244444673,33.793903023197366,27.542176795088235,30.075833343098434,28.698339667871128,1.845168113708496,1.842182993888855,1.792401909828186,1.845168113708496
 Summer evening on Skagen Sønderstrand,Peder Severin Krøyer,1893,Skagen, Dinamarca,WHITE,img2.jpg,178.19292497286557,173.9925996999051,178.72113627780217,181.86503894088943,30.25057950990037,39.25253264098071,28.996031274499074,18.230616365771528,1.9331027269363403,2.4408023357391357,2.6624245643615723,1.9331027269363403
" Composition en rouge, jaune et bleu Composition in Red, Yellow and Blue",Piet Mondrian,1927,Essen, Alemania,WHITE,img3.jpg,205.4366211080376,215.06147863099548,199.98120834141412,201.2671763517031,56.80478311201316,36.327800353543786,63.29640411833708,64.91858455020554,10.252338409423828,9.65604305267334,11.264460563659668,10.252338409423828
" Market Scene, Northern Town",LS Lowry,1939,Salford, Reino Unido,WHITE,img4.jpg,176.48524193027046,174.70572323898375,176.98817993446906,177.76182261735855,61.19359420652173,62.29977930469342,60.72828863635352,60.49571126918196,2.491937160491944,2.900913953781128,3.0269033908843994,2.491937160491944
 The Cripples,LS Lowry,1949,Salford, Reino Unido,WHITE,img5.jpg,173.63145144552527,175.77475527973138,174.91626943216733,170.2033296246772,67.78428976910287,67.40396347637646,67.71967796164496,68.094670974669,2.80940055847168,3.7543756961822514,3.3413748741149902,2.80940055847168
 Composition 10 in black and white,Piet Mondrian,1915,Otterlo, Países Bajos,WHITE,img6.jpg,210.4553277057028,208.74885933305438,212.38275372822014,210.234370055834,38.84984473198612,38.90051829242053,38.762199034493946,38.80073558616457,2.458024501800537,2.46179747581482,2.48501968383789,2.458024501800537
 The Cradle,Berthe Morisot,1872,Paris, Francia,WHITE,img7.jpg,147.30807023990582,159.95511845583806,149.36830017658647,132.60079208729292,52.565992024645865,54.13651199869578,52.0008160870139,47.68865002155737,1.7147879600524902,1.2871531248092651,1.4284218549728394,1.7147879600524902
 A holiday at Mentone,Charles CONDER,1888,Adelaide, Australia,WHITE,img8.jpg,177.89303759352447,179.0267431534465,182.52131796792858,172.1310516591983,38.64688921632672,51.418492428547495,33.676049760704856,25.434262280611964,3.097810983657837,4.6123127937316895,3.277980327606201,3.097810983657837
" Ram's Head, Blue Morning Glory",Georgia O'Keeffe,1938,Santa Fe, Estados Unidos,WHITE,img9.jpg,193.52050818796425,200.7349365615654,194.1293266237279,185.69726137859936,45.92449895593951,43.19395650362873,40.48052647165653,52.049650180540354,5.236563205718994,6.227682590484619,5.762604236602782,5.236563205718994
 Asparagus,Edouard Manet,1880,Paris, Francia,WHITE,img10.jpg,164.1597716284403,175.55402219069302,170.4246343231022,146.5006583715257,36.76414311824183,36.51578129738835,35.87497211971994,30.878293635293797,3.9218263626098633,4.383462905883788,4.085682392120361,3.9218263626098633
 Pilgrims going to Mecca,Léon Belly,1861,Paris, Francia,WHITE,img11.jpg,157.2988428312357,167.6139901397381,157.78427870040522,146.49825965356388,63.97003234894176,58.27980325984597,62.79612955352865,68.65358877951732,2.0594043731689453,1.473578929901123,1.646334171295166,2.0594043731689453
 A View from Dosseringen near the Sortedam Lake Looking towards the Suburb Nørrebro outside Copenhagen,Christen Købke,1838,Copenhagen, Dinamarca,WHITE,img12.jpg,177.34144814516156,193.56034051587747,179.26317508599658,159.20082883361064,56.36397730968755,53.7687059840079,55.835521877568425,54.09424178959528,4.09719181060791,2.408188819885254,3.5398943424224854,4.09719181060791
 Composición de colores / Composición nº I con rojo y azul,Piet Mondrian,1931,Madrid, España,WHITE,img13.jpg,192.8484554638032,219.96616276577285,181.4777429595076,177.1014606661291,86.56262837263539,71.67588536773768,96.84090933977258,82.77101322326067,4.2898473739624015,6.383289337158202,4.151808738708496,4.2898473739624015
 A stroll on the beach,Michael Ancher,1896,Skagen, Dinamarca,WHITE,img14.jpg,190.7922131830817,199.1858853310741,191.0139329787994,182.17682123937163,41.0636302774737,40.25183838716293,40.61361406114451,40.54949055045881,1.0571523904800415,0.9924760460853576,0.8140857219696045,1.0571523904800415
 Stroyuschiysya dom [House under construction],Kasimir MALEVICH,1915,Canberra, Australia,WHITE,img15.jpg,143.72461016580075,158.0112484561443,143.08020904571853,130.0823729955394,67.19959009478609,66.19047855005607,68.25289572300066,64.1645040502087,3.889491319656372,4.137213230133057,3.7988102436065687,3.889491319656372
 Washing on the Ice,Pekka Halonen,1900,Helsinki, Finlandia,WHITE,img16.jpg,186.45961817853947,197.37303636864723,189.50935500005104,172.49646316692014,53.4054906568717,50.12790864244924,52.576862859453534,54.368486044260464,2.643314838409424,3.686883211135864,3.578920602798462,2.643314838409424
 The Loing's Canal,Alfred Sisley,1892,Paris, Francia,WHITE,img17.jpg,176.76867852756146,182.39112372281028,180.4413845195929,167.47352734028112,34.4277491627212,28.90307976489669,31.366027753491085,40.06361847653201,1.0929359197616575,1.3898929357528689,1.139278531074524,1.0929359197616575
 Composition in colour A,Piet Mondrian,1917,Otterlo, Países Bajos,WHITE,img18.jpg,198.98196027995246,205.5613306249936,194.7887597097041,196.59579050515973,72.52534188572307,70.83563441165184,74.09980635647372,72.14390058072324,3.620194911956787,4.279682636260986,3.47159194946289,3.620194911956787
 No Swimming, Norman Rockwell,1921,Stockbridge, MA,WHITE,img19.jpg,161.52432231964534,173.36607498290275,159.5397421633374,151.66714981269584,76.79963767510753,73.49500288897562,78.54244399768373,76.69936484702613,4.8286237716674805,6.389309406280518,6.342535972595215,4.8286237716674805
 Seated Male Nude (Self-Portrait),Egon Schiele,1910,Vienna, Austria,WHITE,img20.jpg,183.34905599390282,189.869448499015,186.64292786493687,173.53479161775658,52.411073113397464,41.92623166046953,49.58486163363005,62.24636097517416,2.2895452976226807,3.2476000785827637,2.8889026641845703,2.2895452976226807
 Winter Scene on a Frozen Canal,Hendrick Avercamp,1620,Los Angeles, Estados Unidos,WHITE,img21.jpg,191.4597780930703,204.86027212689729,198.53208668048055,170.9869754718329,50.63221803977949,45.780565782678366,48.65338097627525,50.78510008658302,2.5301449298858643,3.669101238250733,3.2170939445495605,2.5301449298858643
" Boston Harbor, Sunset",Fitz Henry Lane,1850,Los Angeles, Estados Unidos,WHITE,img22.jpg,176.24396152524437,181.22199879553742,177.46791331951943,170.0419724606763,56.13817163417803,56.19897838679618,55.64646584570754,55.99004401705768,4.899850368499756,1.533231258392334,2.5263280868530282,4.899850368499756
 Small Tree in Late Autumn,Egon Schiele,1911,Vienna, Austria,WHITE,img24.jpg,176.10963672182018,183.2265104267676,177.2144045565434,167.88799518214947,44.38209338939638,39.67245092454893,44.21061459072772,47.55379104884325,1.820539832115173,2.2851040363311768,2.027705907821656,1.820539832115173
" Sunset on the Lagoon, Venice",Henri Edmond Cross,1903,Houston, Estados Unidos,WHITE,img25.jpg,211.2473163279541,209.4807030795456,212.35036593208056,211.9108799722361,28.417224474241227,29.723087138869428,27.996986255047585,27.39607334125579,1.8630478382110602,1.5597320795059204,1.7280520200729368,1.8630478382110602
 A moura,Dario Villares Barbosa,1919,Sao Paulo, Brasil,WHITE,img26.jpg,173.8037100171143,182.9225265134889,175.51632659310604,162.97227694474782,43.59887078661771,51.41725031332647,41.66340575549017,33.460510761831,1.818443775177002,2.50571608543396,2.1366567611694336,1.818443775177002
 Winter Harmony,John Henry Twachtman,1890,Washington,Estados Unidos,WHITE,img27.jpg,195.6021938912649,188.48715409976623,196.27169819024382,202.04772938378463,22.94738461778839,24.633414970063523,21.590099309165982,20.35172980601013,1.368456244468689,1.5019633769989014,1.5700898170471191,1.368456244468689
 Madre,Joaquín Sorolla y Bastida,1895,Madrid, España,WHITE,img28.jpg,171.12766963699403,181.67436638120225,175.36249221692574,156.34615031285406,32.40125814904487,31.4737707743212,30.084671587768568,30.102807669667964,2.560476303100586,1.741769790649414,3.078568458557129,2.560476303100586
" L'Île Lacroix, Rouen (The Effect of Fog)",Camille Pissarro,1888,Philadelphia, Estados Unidos,WHITE,img29.jpg,185.36485010564567,194.088007430922,190.5596974553175,171.44684543069746,38.87708675790563,40.66897430117232,38.36204360119779,33.3448796299485,2.3320958614349365,3.2020959854125977,2.9634487628936768,2.3320958614349365
 The Goldfinch,Fabritius,1654,Den Haag, Países Bajos,WHITE,img30.jpg,153.23027352189638,165.11990527615882,155.77648031520175,138.79443497432862,57.406810960224895,55.847392585412216,57.140746780598974,56.092688345074215,4.227532863616943,4.104603290557861,4.030799388885498,4.227532863616943
 The Disillusioned One,Ferdinand Hodler,1892,Los Angeles, Estados Unidos,WHITE,img31.jpg,155.54588356180696,168.81917749492192,161.00289887617512,136.81557431432392,66.92551111626054,69.91713931992477,66.98373078459042,59.20356173011396,1.0150350332260132,1.726503849029541,1.5186469554901123,1.0150350332260132
 Enjoying the Ice near a Town,Hendrick Avercamp,1620,Amsterdam, Países Bajos,WHITE,img32.jpg,159.3772451830001,173.26278720819855,167.9997448172381,136.86920352356358,43.88005077287039,42.56633960890039,41.848740724687545,37.93940541083601,2.2901771068573,1.5767886638641355,2.2930655479431152,2.2901771068573
 Suprematism,Kazimir Malevich,1915,St. Petersburg, Rusia,WHITE,img33.jpg,203.29777446607258,206.26364462227852,206.2121691555492,197.4175096203901,61.57161115488336,56.16257892579935,60.64869331128889,66.99867932889542,2.940836429595948,3.00107741355896,3.22969937324524,2.940836429595948
" Rosina Ferrara, Head of a Capri Girl",John Singer Sargent,1878,Denver, CO,WHITE,img34.jpg,187.91767463857616,194.4425583602976,186.0888138084496,183.2216517469812,83.85360304735245,80.00838518490814,83.53932836694078,87.44225338848686,7.688612937927246,10.420086860656738,7.547723770141602,7.688612937927246
 In the Garden of Haminalahti,Ferdinand von Wright,1856,Helsinki, Finlandia,WHITE,img35.jpg,151.02828445732834,161.01887331706968,156.45662403413326,135.6093560207821,60.68971977480767,57.5862107418204,57.59557617348594,63.63396975059818,3.446256399154663,4.997408390045166,4.62822151184082,3.446256399154663
 La fachada occidental de la iglesia de Santa María de Utrecht,Pieter Jansz Saenredam,1662,Madrid, España,WHITE,img36.jpg,179.12066061713398,186.54431503843048,185.49173718216983,165.32592963080157,51.26673497726129,44.08281630968639,48.67598761260483,57.325317419797656,2.0757977962493896,2.025512218475342,2.0787456035614014,2.0757977962493896
 Frosty sunrise,Elioth Gruner,1917,Sydney, Australia,WHITE,img37.jpg,159.59261262916505,174.7919954271249,165.52896324347495,138.45687921689517,47.09717076390274,45.71164093470347,45.47860738206845,42.232593013069625,2.5102787017822266,3.559334278106689,3.650516986846924,2.5102787017822266
 Beached Vessels and a Wagon near Trouville,Richard Parkes Bonington,1825,New Haven, CT,WHITE,img38.jpg,186.69318866171952,187.3484061284692,186.85171840071862,185.8794414559708,39.24878242481304,36.57422097827897,38.59668085155461,42.342729322097924,4.193352222442627,3.146564483642578,3.1288557052612305,4.193352222442627
 So the Treasure Was Divided, Howard Pyle,1905,Wilmington, DE,WHITE,img39.jpg,157.77091052611885,165.2642366462861,160.03355142953384,148.0149435025365,65.25625211456227,60.75077752689726,68.28718991725701,65.30612276374727,1.9626792669296265,2.805677652359009,2.0892999172210693,1.9626792669296265
 Abstraction,Piet Mondrian,1939,Fort Worth, Estados Unidos,WHITE,img40.jpg,170.4834556509372,184.9237105615041,169.58149006318325,156.94516632812417,71.85663197371292,72.5013822370665,71.96751709888824,68.27688445265382,3.1287691593170166,2.826368570327759,3.4310333728790283,3.1287691593170166
 A Frozen Canal near the River Maas,Andreas Schelfhout,1867,Amsterdam, Países Bajos,WHITE,img41.jpg,158.1271014300442,173.80060018985597,161.75387112249794,138.82683297777868,37.74620619647251,33.76992206596245,35.56583531502947,35.18067061011555,3.5987794399261475,3.7103559970855713,2.8298861980438232,3.5987794399261475
 Visit day at the Hospital,Henri Geoffroy,1889,Paris, Francia,WHITE,img42.jpg,145.45428996247108,157.84416499096653,148.1673284406292,130.35137645581764,64.63375048131866,64.63372981788969,65.1803807128763,60.97209580128818,1.1668436527252195,1.5261216163635254,1.5543361902236938,1.1668436527252195
" Breakwater at Trouville, Low Tide",Claude Monet,1870,Budapest, Hungría,WHITE,img43.jpg,194.6101930202411,214.54361073400767,198.72532127509723,170.56164705161837,54.43786527742408,47.753620290039215,50.48055690377516,55.399825507469046,4.13805627822876,4.048886775970459,4.026990890502931,4.13805627822876
 Painterly Realism of a Football Player – Color Masses in the 4th Dimension,Kazimir Malevich,1915,Chicago, Estados Unidos,WHITE,img44.jpg,186.2936507126404,190.5330563749757,188.0947544631465,180.2531412997989,57.93897100436633,55.968088614722156,57.916763486586206,59.382576216692534,6.3280487060546875,6.793626308441162,7.366045951843263,6.3280487060546875
 Melancholia,Giovanni Benedetto Castiglione,1640,Philadelphia, Estados Unidos,WHITE,img45.jpg,168.24212420935874,189.7346813788035,171.01549469730222,143.97619655197053,33.089598302842745,24.63212345113184,26.82349125970605,30.00110857685609,2.5850207805633545,3.590033769607544,3.6818277835845934,2.5850207805633545
 Summer Day on Conesus Lake,John Frederick Kensett,1870,New York City, Estados Unidos,WHITE,img46.jpg,141.90048552773496,155.27210648266288,144.9580275393237,125.47132256121834,64.44797840961587,61.039082080552,62.386237258580294,66.21742532629494,5.019210815429688,2.223988771438598,3.3570544719696045,5.019210815429688
